"lon","lat","species.name"
-98.26643,26.205466,"Wallengrenia   otho"
-97.956934,26.126425,"Wallengrenia   otho"
-97.418139,25.851167,"Wallengrenia   otho"
-98.147471,26.071355,"Wallengrenia   otho"
-98.366481,26.179799,"Wallengrenia   otho"
-97.682662,30.351805,"Wallengrenia   otho"
-97.417644,25.852128,"Wallengrenia   otho"
-81.036069,28.109913,"Wallengrenia   otho"
-96.997956,29.915659,"Wallengrenia   otho"
-96.996623,32.61358,"Wallengrenia   otho"
-84.787523,34.647198,"Wallengrenia   otho"
-99.742431,29.5897,"Wallengrenia   otho"
-95.685034,30.309416,"Wallengrenia   otho"
-96.977098,29.844148,"Wallengrenia   otho"
-96.7909,33.74015,"Wallengrenia   otho"
-85.629437,34.382475,"Wallengrenia   otho"
-80.052495,35.062677,"Wallengrenia   otho"
-83.168263,29.651584,"Wallengrenia   otho"
-98.4105,29.840551,"Wallengrenia   otho"
-99.575757,29.823262,"Wallengrenia   otho"
-81.374073,27.049742,"Wallengrenia   otho"
-96.751527,33.738884,"Wallengrenia   otho"
-93.183081,33.345144,"Wallengrenia   otho"
-79.713836,39.129476,"Wallengrenia   otho"
-95.578725,33.802182,"Wallengrenia   otho"
-93.183135,33.34513,"Wallengrenia   otho"
-98.266221,26.206564,"Wallengrenia   otho"
-79.442466,43.936579,"Wallengrenia   otho"
-99.43083,29.779352,"Wallengrenia   otho"
-96.715822,30.309133,"Wallengrenia   otho"
-93.183103,33.345157,"Wallengrenia   otho"
-99.4534,29.7864,"Wallengrenia   otho"
-80.343142,32.680954,"Wallengrenia   otho"
-92.232553,38.589703,"Wallengrenia   otho"
-80.335569,43.387891,"Wallengrenia   otho"
-81.869164,43.231653,"Wallengrenia   otho"
-80.730738,42.840588,"Wallengrenia   otho"
-77.314016,44.471702,"Wallengrenia   otho"
-87.80463,42.478815,"Wallengrenia   otho"
-83.048839,42.256412,"Wallengrenia   otho"
-72.57453,44.2851,"Wallengrenia   otho"
-81.269349,43.043274,"Wallengrenia   otho"
-93.042926,45.077147,"Wallengrenia   otho"
-71.118823,42.21575,"Wallengrenia   otho"
-81.84498,43.247647,"Wallengrenia   otho"
-87.808201,42.420638,"Wallengrenia   otho"
-80.296618,43.158845,"Wallengrenia   otho"
-77.315025,44.470075,"Wallengrenia   otho"
-87.8093,42.412467,"Wallengrenia   otho"
-80.3986,43.92759,"Wallengrenia   otho"
-71.089469,42.304837,"Wallengrenia   otho"
-81.871057,43.236158,"Wallengrenia   otho"
-80.095608,43.365695,"Wallengrenia   otho"
-80.210178,43.54126,"Wallengrenia   otho"
-70.602507,41.406125,"Wallengrenia   otho"
-71.832125,42.43116,"Wallengrenia   otho"
-81.334041,27.784774,"Wallengrenia   otho"
-74.702029,40.702492,"Wallengrenia   otho"
-81.322078,42.973058,"Wallengrenia   otho"
-79.978405,43.247075,"Wallengrenia   otho"
-71.35492,42.465435,"Wallengrenia   otho"
-80.103618,43.416722,"Wallengrenia   otho"
-79.070013,44.616843,"Wallengrenia   otho"
-81.839547,43.25653,"Wallengrenia   otho"
-81.87118,43.236125,"Wallengrenia   otho"
-79.052978,44.546825,"Wallengrenia   otho"
-76.876022,43.943008,"Wallengrenia   otho"
-79.224113,45.320031,"Wallengrenia   otho"
-79.363614,43.622477,"Wallengrenia   otho"
-70.64033,41.788742,"Wallengrenia   otho"
-73.341118,44.694307,"Wallengrenia   otho"
-79.612416,43.949657,"Wallengrenia   otho"
-92.228792,38.591008,"Wallengrenia   otho"
-89.900877,43.921323,"Wallengrenia   otho"
-72.504837,43.624315,"Wallengrenia   otho"
-70.006225,41.726242,"Wallengrenia   otho"
-80.122186,43.416348,"Wallengrenia   otho"
-81.870133,43.235632,"Wallengrenia   otho"
-87.436714,41.710662,"Wallengrenia   otho"
-79.661854,43.861239,"Wallengrenia   otho"
-71.159155,42.463285,"Wallengrenia   otho"
-79.46856,43.647629,"Wallengrenia   otho"
-75.863067,45.363005,"Wallengrenia   otho"
-70.639565,41.789084,"Wallengrenia   otho"
-79.14114,37.907635,"Wallengrenia   otho"
-71.356148,42.465247,"Wallengrenia   otho"
-70.87954,42.024965,"Wallengrenia   otho"
-98.135378,26.081127,"Wallengrenia   otho"
-79.222637,45.38529,"Wallengrenia   otho"
-75.827271,45.287038,"Wallengrenia   otho"
-76.691685,38.802908,"Wallengrenia   otho"
-74.093844,42.715241,"Wallengrenia   otho"
-97.389392,28.655947,"Wallengrenia   otho"
-81.597499,27.993548,"Wallengrenia   otho"
-81.455266,44.413911,"Wallengrenia   otho"
-72.604942,41.401445,"Wallengrenia   otho"
-93.72588,48.749352,"Wallengrenia   otho"
-82.239251,27.632025,"Wallengrenia   otho"
-81.976356,28.578013,"Wallengrenia   otho"
-97.934998,30.215507,"Wallengrenia   otho"
-81.070234,28.510905,"Wallengrenia   otho"
-94.235326,33.236852,"Wallengrenia   otho"
-97.644372,27.86811,"Wallengrenia   otho"
-96.65497,32.962582,"Wallengrenia   otho"
-82.322958,29.644232,"Wallengrenia   otho"
-91.453135,31.42599,"Wallengrenia   otho"
-91.417683,31.361314,"Wallengrenia   otho"
-97.894875,30.340495,"Wallengrenia   otho"
-82.385401,28.850234,"Wallengrenia   otho"
-82.188531,29.589025,"Wallengrenia   otho"
-97.100877,32.791991,"Wallengrenia   otho"
-97.808244,30.158735,"Wallengrenia   otho"
-98.330852,26.180578,"Wallengrenia   otho"
-81.149341,28.718294,"Wallengrenia   otho"
-95.307846,29.982077,"Wallengrenia   otho"
-97.606112,27.920594,"Wallengrenia   otho"
-80.934059,28.051859,"Wallengrenia   otho"
-97.016002,32.311764,"Wallengrenia   otho"
-96.751653,33.73918,"Wallengrenia   otho"
-97.873211,30.185446,"Wallengrenia   otho"
-81.142729,27.840908,"Wallengrenia   otho"
-81.046643,27.581769,"Wallengrenia   otho"
-98.196407,26.33356,"Wallengrenia   otho"
-97.417769,25.852159,"Wallengrenia   otho"
-97.957807,26.125283,"Wallengrenia   otho"
-98.366161,26.179661,"Wallengrenia   otho"
-98.386467,26.178873,"Wallengrenia   otho"
-97.9897,26.147475,"Wallengrenia   otho"
-80.659491,25.398378,"Wallengrenia   otho"
-80.44867,26.645763,"Wallengrenia   otho"
-87.74606,30.659218,"Wallengrenia   otho"
-95.77101,29.526602,"Wallengrenia   otho"
-97.957855,26.126254,"Wallengrenia   otho"
-97.95747,26.123307,"Wallengrenia   otho"
-97.272858,30.165553,"Wallengrenia   otho"
-98.042008,30.180828,"Wallengrenia   otho"
-100.06961,29.650436,"Wallengrenia   otho"
-97.647568,30.686544,"Wallengrenia   otho"
-97.611165,30.198659,"Wallengrenia   otho"
-81.16181,29.057617,"Wallengrenia   otho"
-89.985505,35.146014,"Wallengrenia   otho"
-97.789822,30.405219,"Wallengrenia   otho"
-96.237595,36.618937,"Wallengrenia   otho"
-94.27499,35.19698,"Wallengrenia   otho"
-97.75515,30.16704,"Wallengrenia   otho"
-94.171083,32.669956,"Wallengrenia   otho"
-80.434093,25.826754,"Wallengrenia   otho"
-96.958508,33.061431,"Wallengrenia   otho"
-97.825068,30.245808,"Wallengrenia   otho"
-97.69127,30.239513,"Wallengrenia   otho"
-100.069807,29.650435,"Wallengrenia   otho"
-95.692831,33.812687,"Wallengrenia   otho"
-94.170044,32.673336,"Wallengrenia   otho"
-95.903091,36.223439,"Wallengrenia   otho"
-93.196169,44.9,"Wallengrenia   otho"
-94.292328,35.3324,"Wallengrenia   otho"
-76.847275,38.82588,"Wallengrenia   otho"
-94.301601,35.325647,"Wallengrenia   otho"
-69.445469,45.253783,"Wallengrenia   otho"
-83.070725,42.260894,"Wallengrenia   otho"
-97.823628,30.245555,"Wallengrenia   otho"
