model,cor.model,auc.model,oldRange,newRange,areaLoss,areaGain,species,iter
gf26,0.433796132,0.884892482,0.311784566,0.315746915,0.029914759,0.033877108,Chlosyne.palla,1
gf45,0.433796132,0.884892482,0.311784566,0.284233056,0.034169366,0.026669707,Chlosyne.palla,1
gf85,0.433796132,0.884892482,0.311784566,0.34855481,0.024899019,0.061669263,Chlosyne.palla,1
he26,0.433796132,0.884892482,0.311784566,0.404562232,0.0075637,0.100341367,Chlosyne.palla,1
he45,0.433796132,0.884892482,0.311784566,0.411178193,0.008775078,0.108168705,Chlosyne.palla,1
he85,0.433796132,0.884892482,0.311784566,0.407865759,0.012477179,0.108558372,Chlosyne.palla,1
mg26,0.433796132,0.884892482,0.311784566,0.347847298,0.004391798,0.04045453,Chlosyne.palla,1
mg45,0.433796132,0.884892482,0.311784566,0.334710307,0.011233978,0.034159719,Chlosyne.palla,1
mg85,0.433796132,0.884892482,0.311784566,0.393439278,0.003901757,0.085556469,Chlosyne.palla,1
mp26,0.433796132,0.884892482,0.311784566,0.342543631,0.008310091,0.039069155,Chlosyne.palla,1
mp45,0.433796132,0.884892482,0.311784566,0.362623147,0.007500632,0.058339213,Chlosyne.palla,1
mp85,0.433796132,0.884892482,0.311784566,0.381862923,0.009297932,0.079376289,Chlosyne.palla,1
gf26,0.435656715,0.872084265,0.300660598,0.301896998,0.030659989,0.031896389,Chlosyne.palla,2
gf45,0.435656715,0.872084265,0.300660598,0.300826582,0.031045681,0.031211666,Chlosyne.palla,2
gf85,0.435656715,0.872084265,0.300660598,0.337302809,0.026700148,0.06334236,Chlosyne.palla,2
he26,0.435656715,0.872084265,0.300660598,0.394730552,0.00692889,0.100998844,Chlosyne.palla,2
he45,0.435656715,0.872084265,0.300660598,0.397185228,0.00837356,0.10489819,Chlosyne.palla,2
he85,0.435656715,0.872084265,0.300660598,0.392037823,0.012366683,0.103743908,Chlosyne.palla,2
mg26,0.435656715,0.872084265,0.300660598,0.334898864,0.005586331,0.039824597,Chlosyne.palla,2
mg45,0.435656715,0.872084265,0.300660598,0.321644934,0.012497563,0.0334819,Chlosyne.palla,2
mg85,0.435656715,0.872084265,0.300660598,0.377776703,0.006610606,0.083726711,Chlosyne.palla,2
mp26,0.435656715,0.872084265,0.300660598,0.322879479,0.011331774,0.033550655,Chlosyne.palla,2
mp45,0.435656715,0.872084265,0.300660598,0.343780703,0.007996442,0.051116547,Chlosyne.palla,2
mp85,0.435656715,0.872084265,0.300660598,0.359625335,0.01020097,0.069165707,Chlosyne.palla,2
gf26,0.419729903,0.871593491,0.299221376,0.305266611,0.027433257,0.033478491,Chlosyne.palla,3
gf45,0.419729903,0.871593491,0.299221376,0.291317418,0.029166785,0.031996125,Chlosyne.palla,3
gf85,0.419729903,0.871593491,0.299221376,0.335018407,0.026212926,0.062009957,Chlosyne.palla,3
he26,0.419729903,0.871593491,0.299221376,0.387686666,0.006833701,0.095298992,Chlosyne.palla,3
he45,0.419729903,0.871593491,0.299221376,0.38720804,0.008456884,0.096443548,Chlosyne.palla,3
he85,0.419729903,0.871593491,0.299221376,0.381029605,0.012432758,0.094240987,Chlosyne.palla,3
mg26,0.419729903,0.871593491,0.299221376,0.330797015,0.006858241,0.03843388,Chlosyne.palla,3
mg45,0.419729903,0.871593491,0.299221376,0.317388374,0.015090373,0.033257371,Chlosyne.palla,3
mg85,0.419729903,0.871593491,0.299221376,0.366274587,0.00920884,0.076262052,Chlosyne.palla,3
mp26,0.419729903,0.871593491,0.299221376,0.322313095,0.011743141,0.03483486,Chlosyne.palla,3
mp45,0.419729903,0.871593491,0.299221376,0.340280664,0.007520384,0.048579673,Chlosyne.palla,3
mp85,0.419729903,0.871593491,0.299221376,0.353796762,0.011129828,0.065705215,Chlosyne.palla,3
gf26,0.336423459,0.794453514,0.260786343,0.274659773,0.022715664,0.036589094,Chlosyne.palla,4
gf45,0.336423459,0.794453514,0.260786343,0.267665256,0.023081653,0.029960566,Chlosyne.palla,4
gf85,0.336423459,0.794453514,0.260786343,0.306313315,0.019549686,0.065076659,Chlosyne.palla,4
he26,0.336423459,0.794453514,0.260786343,0.355831817,0.006530157,0.101575631,Chlosyne.palla,4
he45,0.336423459,0.794453514,0.260786343,0.353603794,0.008695902,0.101513353,Chlosyne.palla,4
he85,0.336423459,0.794453514,0.260786343,0.35137577,0.010861648,0.101451075,Chlosyne.palla,4
mg26,0.336423459,0.794453514,0.260786343,0.300336786,0.002526201,0.042076644,Chlosyne.palla,4
mg45,0.336423459,0.794453514,0.260786343,0.283429227,0.009331772,0.031974656,Chlosyne.palla,4
mg85,0.336423459,0.794453514,0.260786343,0.345270764,0.004606102,0.089090523,Chlosyne.palla,4
mp26,0.336423459,0.794453514,0.260786343,0.283637307,0.010927565,0.033778529,Chlosyne.palla,4
mp45,0.336423459,0.794453514,0.260786343,0.300386598,0.007694917,0.047295173,Chlosyne.palla,4
mp85,0.336423459,0.794453514,0.260786343,0.317716615,0.009301136,0.066231409,Chlosyne.palla,4
gf26,0.414619494,0.866396006,0.291732715,0.289620193,0.031397931,0.029285409,Chlosyne.palla,5
gf45,0.414619494,0.866396006,0.291732715,0.284233056,0.034169366,0.026669707,Chlosyne.palla,5
gf85,0.414619494,0.866396006,0.291732715,0.32242664,0.029004881,0.059698806,Chlosyne.palla,5
he26,0.414619494,0.866396006,0.291732715,0.387224378,0.010375149,0.105866813,Chlosyne.palla,5
he45,0.414619494,0.866396006,0.291732715,0.386390276,0.011985747,0.106643308,Chlosyne.palla,5
he85,0.414619494,0.866396006,0.291732715,0.381112444,0.017003236,0.106382965,Chlosyne.palla,5
mg26,0.414619494,0.866396006,0.291732715,0.326112393,0.00508968,0.039469358,Chlosyne.palla,5
mg45,0.414619494,0.866396006,0.291732715,0.310664276,0.012284591,0.031216153,Chlosyne.palla,5
mg85,0.414619494,0.866396006,0.291732715,0.368967039,0.005564558,0.082798882,Chlosyne.palla,5
mp26,0.414619494,0.866396006,0.291732715,0.309398925,0.013340852,0.031007062,Chlosyne.palla,5
mp45,0.414619494,0.866396006,0.291732715,0.331364947,0.011066739,0.050698971,Chlosyne.palla,5
mp85,0.414619494,0.866396006,0.291732715,0.344395285,0.013889638,0.066552209,Chlosyne.palla,5
gf26,0.414760292,0.870428285,0.297651232,0.302338612,0.025347497,0.030034877,Chlosyne.palla,6
gf45,0.414760292,0.870428285,0.297651232,0.301316947,0.026827649,0.030493363,Chlosyne.palla,6
gf85,0.414760292,0.870428285,0.297651232,0.331361673,0.025593604,0.059304045,Chlosyne.palla,6
he26,0.414760292,0.870428285,0.297651232,0.392377054,0.007947784,0.102673606,Chlosyne.palla,6
he45,0.414760292,0.870428285,0.297651232,0.392261055,0.00982326,0.104433083,Chlosyne.palla,6
he85,0.414760292,0.870428285,0.297651232,0.384213167,0.01448555,0.101047485,Chlosyne.palla,6
mg26,0.414760292,0.870428285,0.297651232,0.332125414,0.004441581,0.038915763,Chlosyne.palla,6
mg45,0.414760292,0.870428285,0.297651232,0.318610864,0.011299274,0.032258906,Chlosyne.palla,6
mg85,0.414760292,0.870428285,0.297651232,0.371157666,0.005014104,0.078520538,Chlosyne.palla,6
mp26,0.414760292,0.870428285,0.297651232,0.320463896,0.010442808,0.033255472,Chlosyne.palla,6
mp45,0.414760292,0.870428285,0.297651232,0.343689775,0.008839589,0.054878132,Chlosyne.palla,6
mp85,0.414760292,0.870428285,0.297651232,0.355869122,0.010984899,0.069202789,Chlosyne.palla,6
gf26,0.383008961,0.848500739,0.288488078,0.294813063,0.028421747,0.034746731,Chlosyne.palla,7
gf45,0.383008961,0.848500739,0.288488078,0.291317418,0.029166785,0.031996125,Chlosyne.palla,7
gf85,0.383008961,0.848500739,0.288488078,0.332301121,0.025277649,0.069090692,Chlosyne.palla,7
he26,0.383008961,0.848500739,0.288488078,0.384609879,0.006698895,0.102820696,Chlosyne.palla,7
he45,0.383008961,0.848500739,0.288488078,0.3853799,0.008094222,0.104986043,Chlosyne.palla,7
he85,0.383008961,0.848500739,0.288488078,0.3830864,0.011881981,0.106480303,Chlosyne.palla,7
